"Notes"	"State of Residence"	"State of Residence Code"	"Five Minute APGAR Score"	"Five Minute APGAR Score Code"	Births	Average Age of Mother (years)	Standard Deviation for Average Age of Mother	Average OE Gestational Age (weeks)	Standard Deviation for Average OE Gestational Age	Average LMP Gestational Age (weeks)	Standard Deviation for Average LMP Gestational Age	Average Birth Weight (grams)	Standard Deviation for Average Birth Weight	Average Pre-pregnancy BMI	Standard Deviation for Average Pre-pregnancy BMI	Average Number of Prenatal Visits	Standard Deviation for Average Number of Prenatal Visits	Average Interval Since Last Live Birth (months)	Standard Deviation for Average Interval Since Last Live Birth
	"Nevada"	"32"	"5"	"5"	91	28.18	5.69	35.07	5.20	35.31	5.71	2587.79	1037.05	27.52	7.18	10.09	7.31	67.41	49.08
	"Nevada"	"32"	"6"	"6"	196	29.64	5.99	34.77	5.19	34.98	5.51	2518.24	1054.86	27.55	7.32	10.01	5.47	59.30	43.82
	"Nevada"	"32"	"7"	"7"	721	29.53	6.12	36.15	4.44	36.46	4.66	2738.26	958.61	27.68	7.52	10.77	6.87	57.55	46.59
	"Nevada"	"32"	"8"	"8"	4126	29.19	6.01	37.92	2.62	38.14	2.98	3164.76	700.87	27.32	6.70	11.21	5.94	55.69	42.64
	"Nevada"	"32"	"9"	"9"	29846	28.63	5.89	38.60	1.54	38.79	2.16	3254.16	501.53	26.74	6.48	11.55	5.55	52.30	39.69
	"Nevada"	"32"	"10"	"10"	434	29.30	5.66	39.05	1.31	39.14	1.84	3314.67	463.30	25.11	5.89	9.99	4.44	46.46	34.29
	"Nevada"	"32"	"Unknown or Not Stated"	"99"	56	28.95	5.65	38.04	2.79	38.08	2.87	3131.02	634.44	25.38	5.36	9.65	7.43	36.37	23.39
	"New Hampshire"	"33"	"1"	"1"	19	29.47	4.46	30.21	8.90	29.89	8.21	1867.26	1426.76	27.44	8.35	9.26	5.98	51.45	34.53
	"New Hampshire"	"33"	"2"	"2"	15	27.93	5.58	36.53	6.01	36.33	6.67	2785.13	1138.00	25.60	5.42	11.21	3.30	35.67	14.60
	"New Hampshire"	"33"	"3"	"3"	22	29.73	5.16	36.68	3.11	37.00	2.98	2810.36	768.57	28.33	6.17	12.59	5.27	69.40	57.82
	"New Hampshire"	"33"	"4"	"4"	33	30.15	5.43	37.30	3.80	37.30	3.83	3092.81	809.91	31.24	7.63	12.48	3.52	58.92	36.51
	"New Hampshire"	"33"	"5"	"5"	55	28.62	5.43	37.25	3.54	37.29	3.52	3184.48	936.17	28.91	7.06	12.78	3.77	38.31	31.39
	"New Hampshire"	"33"	"6"	"6"	96	30.50	6.05	37.14	3.96	37.18	4.17	3016.29	908.86	27.66	6.76	12.57	4.88	57.46	44.11
	"New Hampshire"	"33"	"7"	"7"	245	30.54	5.69	37.40	3.58	37.65	3.69	3090.83	888.31	28.41	7.41	12.52	4.34	50.32	37.49
	"New Hampshire"	"33"	"8"	"8"	1365	29.61	5.43	38.44	2.45	38.68	2.71	3294.14	665.86	27.58	6.93	12.75	3.93	48.25	37.15
	"New Hampshire"	"33"	"9"	"9"	9471	29.88	5.34	38.88	1.75	39.03	2.07	3371.51	547.06	27.05	6.64	12.67	3.86	48.27	34.81
	"New Hampshire"	"33"	"10"	"10"	643	30.06	5.03	39.12	1.29	39.30	1.68	3437.13	504.98	26.16	6.29	12.60	3.57	45.46	33.91
	"New Hampshire"	"33"	"Unknown or Not Stated"	"99"	29	30.66	5.38	36.30	5.98	36.30	5.85	2888.31	1100.43	25.20	5.68	8.18	5.84	41.61	24.77
	"New Jersey"	"34"	"0"	"0"	31	31.19	3.34	31.03	7.80	31.29	8.22	1998.47	1285.06	27.40	6.06	7.19	4.88	58.42	26.72
	"New Jersey"	"34"	"1"	"1"	126	29.24	6.29	27.29	7.23	27.82	7.58	1294.81	1107.25	27.08	6.22	6.34	4.61	57.36	40.70
	"New Jersey"	"34"	"2"	"2"	65	29.72	6.57	29.18	7.92	29.82	7.85	1623.45	1309.39	27.81	6.81	6.31	4.46	75.26	52.33
	"New Jersey"	"34"	"3"	"3"	75	29.99	5.94	32.04	6.69	32.24	6.71	2004.30	1259.25	28.66	8.05	7.01	4.51	62.06	49.55
	"New Jersey"	"34"	"4"	"4"	116	30.28	6.58	34.58	5.84	34.97	6.27	2496.63	1159.84	28.10	6.92	8.96	4.11	62.00	53.87
	"New Jersey"	"34"	"5"	"5"	184	29.16	5.88	35.53	5.49	35.61	5.57	2622.92	1109.81	26.75	6.59	8.76	4.49	56.61	42.61
	"New Jersey"	"34"	"6"	"6"	434	30.01	6.03	34.78	5.60	35.00	5.78	2487.06	1100.43	27.63	7.39	8.86	4.45	61.36	46.74
	"New Jersey"	"34"	"7"	"7"	964	30.50	5.99	35.50	4.91	35.71	5.12	2608.71	1059.87	27.97	7.25	9.45	4.34	60.36	48.11
	"New Jersey"	"34"	"8"	"8"	4871	30.74	5.82	37.05	3.49	37.22	3.72	2963.87	851.81	27.30	6.80	10.04	3.92	57.41	44.23
	"New Jersey"	"34"	"9"	"9"	93206	30.62	5.63	38.69	1.63	38.81	2.09	3291.69	523.22	26.39	6.04	10.67	3.42	52.42	39.65
	"New Jersey"	"34"	"10"	"10"	947	30.56	5.51	38.92	1.26	39.06	1.82	3380.18	478.40	25.66	5.38	10.37	3.49	49.61	37.36
	"New Jersey"	"34"	"Unknown or Not Stated"	"99"	204	29.79	5.70	36.99	4.24	37.05	4.54	2837.92	851.54	25.65	5.91	6.17	4.90	37.44	26.97
	"New Mexico"	"35"	"0"	"0"	14	26.43	5.23	30.23	7.84	30.15	9.43	1793.21	1147.04	27.70	7.00	4.79	5.33	33.44	19.11
	"New Mexico"	"35"	"1"	"1"	50	28.22	5.44	28.00	7.79	28.40	7.68	1575.07	1297.83	30.44	8.11	5.75	4.66	47.06	34.25
	"New Mexico"	"35"	"2"	"2"	55	27.49	6.43	35.09	6.40	35.27	6.54	2636.65	1119.34	29.85	6.85	8.39	4.53	48.62	31.92
	"New Mexico"	"35"	"3"	"3"	59	29.00	6.55	35.51	5.39	35.98	5.52	2613.66	1112.38	28.29	6.44	10.48	5.19	95.90	70.48
	"New Mexico"	"35"	"4"	"4"	69	27.38	5.36	35.65	5.39	35.65	5.86	2605.12	1030.14	27.74	6.31	9.30	4.49	57.68	50.63
	"New Mexico"	"35"	"5"	"5"	136	27.32	6.11	36.85	3.68	36.88	3.91	2860.26	869.54	27.09	6.95	9.01	4.29	56.85	53.32
	"New Mexico"	"35"	"6"	"6"	276	28.18	6.54	36.64	3.82	36.76	4.08	2816.07	879.29	28.26	7.17	9.26	4.34	58.08	43.34
	"New Mexico"	"35"	"7"	"7"	699	27.90	6.07	37.29	3.13	37.41	3.35	2971.39	787.05	27.64	7.14	9.38	4.46	57.89	42.62
	"New Mexico"	"35"	"8"	"8"	4575	27.85	5.89	38.20	2.22	38.33	2.49	3136.29	590.41	27.37	6.65	10.14	4.05	54.03	41.32
	"New Mexico"	"35"	"9"	"9"	16448	27.63	5.81	38.62	1.51	38.73	1.90	3222.58	490.35	27.32	6.60	10.15	4.23	51.28	36.87
	"New Mexico"	"35"	"10"	"10"	616	28.24	5.80	38.91	1.29	38.99	1.79	3305.88	465.00	27.04	6.30	10.12	4.23	48.80	34.95
	"New Mexico"	"35"	"Unknown or Not Stated"	"99"	42	28.88	6.45	36.26	4.90	36.43	5.49	2525.34	855.80	24.55	5.10	3.73	4.82	45.11	38.83
	"New York"	"36"	"0"	"0"	57	29.30	6.50	27.88	8.62	28.07	8.48	1634.38	1459.30	28.17	7.24	7.06	4.48	64.00	52.45
	"New York"	"36"	"1"	"1"	268	30.81	6.34	25.90	7.15	26.09	7.21	1165.69	1081.95	28.53	8.04	6.42	3.98	56.42	52.95
	"New York"	"36"	"2"	"2"	189	29.94	5.89	30.72	7.78	30.97	8.04	1866.41	1262.00	28.75	7.47	8.41	4.92	71.34	53.08
	"New York"	"36"	"3"	"3"	192	29.61	6.42	33.62	6.64	33.95	6.72	2380.54	1289.37	29.09	7.65	8.95	4.44	56.19	45.66
	"New York"	"36"	"4"	"4"	309	29.72	6.43	35.82	5.23	35.94	5.52	2698.54	1086.18	28.39	7.50	10.41	4.72	63.83	49.23
	"New York"	"36"	"5"	"5"	552	30.22	6.19	35.27	5.31	35.52	5.58	2653.93	1109.19	28.86	8.02	10.02	4.30	59.79	45.74
	"New York"	"36"	"6"	"6"	1143	30.02	6.03	35.69	5.07	35.87	5.17	2677.44	1074.85	28.23	7.35	10.27	4.15	59.76	41.35
	"New York"	"36"	"7"	"7"	2698	30.22	6.08	36.22	4.57	36.42	4.70	2766.85	998.62	28.19	7.38	10.24	4.60	59.20	47.13
	"New York"	"36"	"8"	"8"	12502	30.26	5.99	37.48	3.32	37.64	3.53	3046.82	824.78	27.54	6.97	11.02	3.93	55.93	42.29
	"New York"	"36"	"9"	"9"	202253	30.28	5.82	38.78	1.64	38.89	2.02	3289.63	528.85	26.28	6.21	11.27	3.65	52.50	39.77
	"New York"	"36"	"10"	"10"	4994	30.05	5.64	38.98	1.35	39.12	1.80	3377.28	485.72	26.67	6.21	11.34	3.93	47.26	34.99
	"New York"	"36"	"Unknown or Not Stated"	"99"	1081	29.53	5.90	37.45	4.38	37.59	4.45	3065.46	851.09	26.43	6.34	7.99	4.78	40.15	31.98
	"North Carolina"	"37"	"0"	"0"	84	28.95	6.41	30.49	7.69	31.27	8.19	1998.11	1275.61	29.36	7.73	7.77	5.62	53.51	40.43
	"North Carolina"	"37"	"1"	"1"	304	27.75	6.25	28.31	7.75	28.78	7.98	1521.05	1243.66	29.10	8.55	7.10	4.78	53.23	47.60
	"North Carolina"	"37"	"2"	"2"	234	27.68	6.21	33.36	7.33	33.80	7.57	2341.15	1325.54	28.88	8.24	9.74	5.65	55.64	37.77
	"North Carolina"	"37"	"3"	"3"	260	27.42	6.56	34.48	6.01	34.88	6.16	2485.99	1104.48	29.41	8.45	10.22	5.64	51.50	39.95
	"North Carolina"	"37"	"4"	"4"	314	27.39	6.08	35.25	5.31	35.46	5.83	2596.94	1061.01	28.70	7.78	10.89	5.69	59.79	44.91
	"North Carolina"	"37"	"5"	"5"	530	28.85	6.16	35.37	5.24	35.66	5.30	2635.22	1085.99	29.13	7.99	10.65	5.60	60.13	46.55
	"North Carolina"	"37"	"6"	"6"	1041	28.70	6.26	35.94	4.65	36.15	5.06	2753.59	1038.39	28.64	7.99	11.13	5.74	59.97	46.09
	"North Carolina"	"37"	"7"	"7"	2509	28.71	6.15	36.49	4.09	36.90	4.41	2870.15	941.89	28.70	7.71	11.25	5.26	56.40	42.57
	"North Carolina"	"37"	"8"	"8"	12478	28.58	5.93	37.83	2.78	38.13	3.24	3134.90	732.40	27.80	7.22	11.83	5.06	53.95	40.51
	"North Carolina"	"37"	"9"	"9"	98823	28.53	5.73	38.67	1.63	38.92	2.34	3292.69	537.86	27.31	6.95	12.25	4.65	51.64	38.03
	"North Carolina"	"37"	"10"	"10"	1941	28.55	5.62	38.79	1.37	39.02	2.22	3314.77	507.19	27.00	6.58	11.83	4.43	50.12	37.57
	"North Carolina"	"37"	"Unknown or Not Stated"	"99"	436	29.45	5.80	36.92	4.33	37.20	4.88	2865.34	898.29	26.83	7.46	8.72	7.14	46.14	38.44
	"North Dakota"	"38"	"0"	"0"	12	28.25	4.80	29.92	7.61	30.42	7.82	1621.73	1228.88	30.85	8.14	6.55	4.40	26.67	4.50
	"North Dakota"	"38"	"1"	"1"	11	29.55	5.14	28.18	7.73	28.45	7.75	1816.30	1439.36	30.45	8.53	6.45	3.50	56.25	58.36
	"North Dakota"	"38"	"2"	"2"	12	29.50	6.09	37.75	2.20	38.33	2.13	2968.33	888.87	27.81	3.75	11.36	3.55	57.83	52.88
	"North Dakota"	"38"	"3"	"3"	24	26.50	4.69	35.67	4.33	35.46	4.45	2590.67	830.59	27.96	6.96	8.70	3.83	27.00	11.92
	"North Dakota"	"38"	"4"	"4"	35	26.71	5.71	36.09	4.12	35.74	4.36	2680.86	983.77	28.37	8.48	8.90	3.67	40.86	31.45
	"North Dakota"	"38"	"5"	"5"	78	29.28	5.65	36.22	4.20	36.62	4.19	2854.33	942.17	28.91	7.62	10.13	4.03	47.81	47.08
	"North Dakota"	"38"	"6"	"6"	156	29.18	5.29	36.36	3.84	36.72	3.91	2863.99	868.54	29.15	7.12	10.46	3.72	46.75	38.23
	"North Dakota"	"38"	"7"	"7"	330	28.85	5.36	37.12	3.46	37.38	3.71	3093.65	861.81	28.75	7.33	10.45	3.68	44.88	35.13
	"North Dakota"	"38"	"8"	"8"	1362	28.45	5.28	37.99	2.41	38.22	2.66	3259.98	657.18	28.69	7.11	10.56	3.45	46.58	36.02
	"North Dakota"	"38"	"9"	"9"	8249	28.54	5.12	38.69	1.45	38.88	1.94	3391.60	508.52	27.87	6.69	10.72	3.27	42.19	30.65
	"North Dakota"	"38"	"10"	"10"	350	28.81	5.61	38.99	1.17	39.27	1.52	3451.89	443.77	27.37	6.83	10.70	3.46	42.40	28.17
	"North Dakota"	"38"	"Unknown or Not Stated"	"99"	17	26.76	4.58	36.59	4.50	36.94	4.75	2908.76	1007.91	28.65	7.69	7.44	4.26	30.80	17.07
	"Ohio"	"39"	"0"	"0"	73	29.21	5.34	30.33	7.26	31.01	7.34	2134.16	1242.55	27.79	7.24	7.36	5.40	47.23	28.75
	"Ohio"	"39"	"1"	"1"	329	28.00	5.67	26.86	7.43	27.31	7.50	1357.33	1194.70	29.28	7.97	6.40	4.70	45.92	37.07
	"Ohio"	"39"	"2"	"2"	234	28.14	6.01	30.75	7.54	31.03	7.88	1904.93	1268.85	29.44	8.46	7.55	5.02	52.73	39.76
	"Ohio"	"39"	"3"	"3"	270	28.16	5.63	33.86	6.12	34.21	6.28	2431.17	1206.31	29.49	8.71	9.40	5.79	48.29	31.78
	"Ohio"	"39"	"4"	"4"	329	27.49	6.01	34.88	5.32	35.00	5.45	2572.03	1119.84	29.19	7.84	9.49	5.24	48.70	43.45
	"Ohio"	"39"	"5"	"5"	603	28.22	6.03	35.50	4.78	35.74	4.86	2662.09	1018.18	29.22	8.18	10.01	5.22	47.48	38.46
	"Ohio"	"39"	"6"	"6"	1159	28.08	5.90	35.80	4.70	36.04	4.96	2744.68	1022.14	28.51	7.90	10.83	5.29	50.41	40.54
	"Ohio"	"39"	"7"	"7"	2378	28.30	5.83	36.28	4.04	36.49	4.27	2839.09	935.75	28.81	7.85	10.78	4.87	48.87	38.87
	"Ohio"	"39"	"8"	"8"	11559	28.29	5.74	37.67	2.76	37.88	3.08	3133.90	737.32	28.35	7.64	11.36	4.63	47.29	35.66
	"Ohio"	"39"	"9"	"9"	114881	28.34	5.57	38.61	1.58	38.77	2.10	3302.36	531.35	27.32	7.03	11.69	4.28	45.83	34.00
	"Ohio"	"39"	"10"	"10"	2958	28.68	5.61	39.10	1.21	39.25	1.80	3424.02	485.31	26.27	6.46	10.19	4.15	37.70	27.21
	"Ohio"	"39"	"Unknown or Not Stated"	"99"	361	28.39	6.10	37.28	4.25	37.41	4.55	2951.11	871.11	26.06	6.14	7.82	6.26	38.44	32.44
	"Oklahoma"	"40"	"0"	"0"	32	27.44	5.65	31.06	7.22	31.62	7.83	2072.90	1269.50	27.51	6.49	7.00	3.68	62.24	35.62
	"Oklahoma"	"40"	"1"	"1"	106	27.02	6.07	28.94	7.97	29.40	8.01	1708.22	1354.90	27.98	7.51	6.69	4.66	54.16	39.32
	"Oklahoma"	"40"	"2"	"2"	98	25.74	6.08	32.13	6.87	32.60	7.41	2140.59	1266.48	28.36	8.20	8.43	4.34	47.86	39.87
	"Oklahoma"	"40"	"3"	"3"	109	27.60	5.80	34.06	5.92	34.32	6.10	2536.49	1133.86	29.54	8.47	9.45	4.41	48.73	38.88
	"Oklahoma"	"40"	"4"	"4"	164	27.45	5.45	35.78	4.40	35.96	4.59	2812.78	960.02	29.38	8.43	10.07	5.07	48.80	35.38
	"Oklahoma"	"40"	"5"	"5"	262	26.96	6.02	35.31	4.73	35.43	5.35	2679.56	1075.57	28.97	8.19	10.17	4.77	53.38	45.03
	"Oklahoma"	"40"	"6"	"6"	584	27.45	5.93	36.10	4.29	36.46	4.56	2837.49	953.20	29.14	7.90	9.93	4.80	52.14	40.38
	"Oklahoma"	"40"	"7"	"7"	1436	27.36	5.71	36.66	3.71	36.89	4.05	2950.02	867.18	28.86	7.76	10.38	4.38	52.95	40.44
	"Oklahoma"	"40"	"8"	"8"	7306	27.58	5.72	37.77	2.40	37.95	2.87	3180.67	683.47	28.26	7.43	10.61	4.11	50.41	38.07
	"Oklahoma"	"40"	"9"	"9"	37822	27.37	5.56	38.47	1.49	38.61	2.12	3304.45	514.47	27.65	6.99	10.93	3.70	47.65	35.19
	"Oklahoma"	"40"	"10"	"10"	1797	27.54	5.48	38.72	1.17	38.86	1.82	3336.72	444.65	27.07	6.84	10.67	3.35	44.96	33.44
	"Oklahoma"	"40"	"Unknown or Not Stated"	"99"	84	28.04	5.39	35.53	4.96	35.66	5.69	2689.28	928.87	27.11	6.88	5.96	5.88	40.97	23.29
	"Oregon"	"41"	"0"	"0"	13	29.31	4.61	32.69	8.94	33.62	9.28	2226.33	1470.06	30.62	5.07	10.18	4.41	79.29	53.38
	"Oregon"	"41"	"1"	"1"	77	30.38	5.45	29.45	7.80	29.99	7.79	1797.93	1448.74	29.33	7.66	7.84	4.63	41.56	27.55
	"Oregon"	"41"	"2"	"2"	66	29.29	6.39	34.33	6.74	34.39	6.80	2551.83	1285.19	28.66	8.35	9.17	4.55	63.69	49.22
	"Oregon"	"41"	"3"	"3"	105	30.18	6.05	36.82	4.52	36.87	4.60	3066.08	993.60	27.55	8.16	10.83	4.25	56.70	47.96
	"Oregon"	"41"	"4"	"4"	143	30.34	6.09	36.74	4.34	36.87	4.54	2958.20	1015.21	28.78	7.90	10.66	4.76	58.08	50.93
	"Oregon"	"41"	"5"	"5"	253	28.48	6.10	36.59	4.04	36.80	4.27	2925.87	941.49	27.42	7.07	11.04	4.34	47.09	35.00
	"Oregon"	"41"	"6"	"6"	477	29.31	5.71	37.36	3.60	37.46	3.83	3065.84	895.05	28.49	7.60	11.06	4.19	53.10	42.88
	"Oregon"	"41"	"7"	"7"	1150	29.57	5.80	37.65	3.20	37.89	3.38	3126.39	787.79	27.90	7.33	11.12	4.11	53.05	39.73
	"Oregon"	"41"	"8"	"8"	5368	29.16	5.84	38.35	2.27	38.50	2.57	3265.79	651.42	27.56	7.12	11.61	4.03	51.49	38.45
	"Oregon"	"41"	"9"	"9"	32847	29.46	5.71	38.91	1.52	39.05	1.95	3370.67	516.32	26.96	6.70	11.77	3.68	49.95	36.82
	"Oregon"	"41"	"10"	"10"	1608	30.09	5.52	39.35	1.25	39.51	1.81	3458.05	477.36	25.71	5.88	11.57	3.44	46.10	32.62
	"Oregon"	"41"	"Unknown or Not Stated"	"99"	81	30.22	6.28	38.31	3.12	38.43	3.10	3169.03	715.12	27.42	7.44	6.34	5.44	48.30	47.58
	"Pennsylvania"	"42"	"0"	"0"	41	28.05	5.93	29.71	8.31	29.79	8.02	1863.92	1339.07	27.02	7.03	6.06	4.96	52.87	35.04
	"Pennsylvania"	"42"	"1"	"1"	333	28.58	5.94	28.77	8.07	29.08	8.26	1640.14	1300.10	28.47	7.88	7.22	5.27	54.47	50.56
	"Pennsylvania"	"42"	"2"	"2"	273	28.65	5.94	32.90	7.32	33.18	7.53	2284.86	1331.50	28.92	8.45	9.12	5.48	50.31	43.55
	"Pennsylvania"	"42"	"3"	"3"	269	29.09	5.93	34.84	5.98	35.16	6.01	2529.83	1115.85	28.34	7.20	9.25	4.99	46.14	39.85
	"Pennsylvania"	"42"	"4"	"4"	395	28.65	6.16	34.95	5.60	35.21	5.74	2571.42	1138.49	28.53	7.90	10.14	5.30	45.57	33.29
	"Pennsylvania"	"42"	"5"	"5"	608	29.16	6.20	36.04	4.61	36.25	4.81	2733.58	992.36	28.13	7.34	10.56	5.03	56.28	45.98
	"Pennsylvania"	"42"	"6"	"6"	1010	28.93	5.88	36.22	4.57	36.39	4.84	2819.90	1006.80	28.41	7.62	10.38	5.03	53.85	41.66
	"Pennsylvania"	"42"	"7"	"7"	2690	29.04	5.82	37.00	3.79	37.21	4.06	2962.40	911.59	28.15	7.45	10.85	4.98	54.44	41.35
	"Pennsylvania"	"42"	"8"	"8"	16661	28.86	5.67	38.14	2.54	38.34	2.86	3202.54	694.49	27.55	7.05	11.22	4.66	48.49	35.98
	"Pennsylvania"	"42"	"9"	"9"	108702	29.25	5.57	38.75	1.61	38.90	2.08	3316.49	534.16	26.87	6.72	11.63	4.43	47.08	34.78
	"Pennsylvania"	"42"	"10"	"10"	3924	28.87	5.48	39.15	1.27	39.21	1.77	3425.57	481.42	25.98	6.21	10.00	4.48	37.19	26.07
	"Pennsylvania"	"42"	"Unknown or Not Stated"	"99"	767	29.17	5.67	36.65	4.94	36.74	5.09	2914.70	964.94	26.61	6.42	8.82	5.52	45.80	37.76
	"Rhode Island"	"44"	"1"	"1"	26	29.08	6.70	28.00	7.90	28.08	7.54	1502.54	1387.37	30.28	7.06	10.29	8.06	65.80	37.68
	"Rhode Island"	"44"	"2"	"2"	11	31.09	6.16	27.00	7.54	27.45	7.46	1337.00	1164.06	30.86	6.39	7.50	3.32	64.67	35.31
	"Rhode Island"	"44"	"3"	"3"	27	28.89	4.47	34.56	6.40	35.44	6.48	2439.70	1255.22	29.00	7.93	8.56	3.38	62.75	39.73
	"Rhode Island"	"44"	"4"	"4"	26	30.73	6.27	35.62	5.50	36.42	6.01	2788.92	1077.59	29.60	8.63	11.00	7.61	60.50	49.95
	"Rhode Island"	"44"	"5"	"5"	43	30.70	6.05	35.12	5.96	35.12	5.95	2510.02	1150.83	30.66	6.47	11.41	5.90	97.21	68.28
	"Rhode Island"	"44"	"6"	"6"	92	30.39	6.48	35.96	4.38	36.22	4.48	2686.46	977.43	29.18	7.29	11.04	3.62	69.62	53.26
	"Rhode Island"	"44"	"7"	"7"	200	29.25	6.07	36.88	3.47	37.33	3.87	2874.49	873.04	27.65	6.84	11.23	3.99	57.03	36.22
	"Rhode Island"	"44"	"8"	"8"	829	29.71	5.92	37.95	2.65	38.16	3.00	3204.00	740.22	27.75	6.85	11.65	4.65	55.24	39.62
	"Rhode Island"	"44"	"9"	"9"	9050	29.70	5.62	38.79	1.55	39.03	2.07	3336.45	516.72	26.77	6.36	11.71	4.38	53.38	38.87
	"Rhode Island"	"44"	"10"	"10"	171	30.97	5.48	38.83	1.15	38.91	1.96	3392.56	433.56	25.90	5.69	12.70	4.26	55.52	43.14
	"Rhode Island"	"44"	"Unknown or Not Stated"	"99"	31	28.77	7.43	36.83	5.27	37.20	4.75	2517.38	881.51	26.17	6.54	9.04	6.72	46.60	29.85
	"South Carolina"	"45"	"0"	"0"	26	27.27	7.07	29.92	7.01	30.04	7.09	1901.87	1222.97	30.68	9.31	6.92	5.72	67.78	51.46
	"South Carolina"	"45"	"1"	"1"	157	27.92	6.48	28.02	7.46	28.39	7.67	1493.69	1229.23	29.32	8.13	7.01	5.34	42.28	33.82
	"South Carolina"	"45"	"2"	"2"	96	27.79	5.81	32.54	6.53	32.57	6.60	2201.63	1209.31	28.92	8.70	10.36	5.64	71.54	55.03
	"South Carolina"	"45"	"3"	"3"	106	28.43	5.18	33.43	5.97	33.69	5.95	2324.94	1175.44	30.05	9.09	9.87	5.56	53.56	41.48
	"South Carolina"	"45"	"4"	"4"	154	27.92	5.95	35.21	5.21	35.66	5.34	2620.64	1079.45	30.98	8.59	10.65	5.73	56.73	36.09
	"South Carolina"	"45"	"5"	"5"	257	27.45	6.35	34.88	5.37	35.32	5.48	2493.40	1078.39	29.31	7.36	10.77	5.73	55.35	47.21
	"South Carolina"	"45"	"6"	"6"	492	28.21	5.99	35.23	4.89	35.52	5.13	2631.29	1049.49	29.72	8.04	10.92	5.31	57.35	43.09
	"South Carolina"	"45"	"7"	"7"	1126	28.27	5.91	35.81	4.40	36.11	4.62	2730.28	1000.48	29.50	8.25	11.12	5.45	55.18	40.75
	"South Carolina"	"45"	"8"	"8"	4889	28.28	5.97	37.44	2.88	37.70	3.24	3074.13	758.52	28.84	7.89	11.74	5.03	54.53	41.14
	"South Carolina"	"45"	"9"	"9"	48169	28.09	5.69	38.51	1.57	38.65	2.14	3269.00	529.20	28.03	7.40	12.09	4.60	50.91	37.44
	"South Carolina"	"45"	"10"	"10"	1017	28.87	5.35	38.85	1.38	39.01	2.23	3351.03	499.82	26.88	6.66	11.63	3.98	43.75	32.28
	"South Carolina"	"45"	"Unknown or Not Stated"	"99"	180	28.33	5.77	36.66	4.29	36.89	4.34	2824.96	887.80	27.12	7.21	7.97	5.95	47.71	36.56
	"South Dakota"	"46"	"1"	"1"	11	27.00	3.64	24.45	7.66	24.64	7.87	1170.62	1193.59	30.19	6.44	6.90	1.70	57.50	57.53
	"South Dakota"	"46"	"2"	"2"	15	30.60	6.00	33.20	5.53	32.80	5.55	2263.80	1138.25	27.69	5.93	9.64	4.64	52.67	38.90
	"South Dakota"	"46"	"3"	"3"	23	26.91	5.47	36.96	4.38	37.00	4.82	3132.91	1073.53	26.69	4.75	10.52	3.46	41.00	36.14
	"South Dakota"	"46"	"4"	"4"	21	30.29	5.86	36.00	4.13	36.14	4.38	2934.86	990.05	30.59	8.05	10.15	3.07	50.77	35.88
	"South Dakota"	"46"	"5"	"5"	55	28.40	5.27	36.69	4.67	37.05	4.81	2885.16	972.03	29.24	6.76	10.06	4.32	44.43	27.86
	"South Dakota"	"46"	"6"	"6"	105	28.57	6.10	36.61	3.79	36.58	3.55	2894.65	871.41	28.89	7.26	10.25	4.10	53.40	48.99
	"South Dakota"	"46"	"7"	"7"	228	28.86	5.41	36.68	3.79	36.69	4.05	2909.45	910.61	27.99	7.01	10.17	4.09	55.85	43.16
	"South Dakota"	"46"	"8"	"8"	1099	28.33	5.58	37.88	2.47	37.98	2.77	3205.56	678.56	27.75	6.96	10.52	3.77	46.24	33.84
	"South Dakota"	"46"	"9"	"9"	9681	28.38	5.29	38.72	1.54	38.77	1.99	3367.84	515.00	26.83	6.42	10.66	3.50	43.89	32.19
	"South Dakota"	"46"	"10"	"10"	587	28.02	5.29	38.73	1.47	38.80	1.84	3363.84	496.01	26.50	6.62	10.55	3.70	41.88	30.23
	"South Dakota"	"46"	"Unknown or Not Stated"	"99"	66	30.36	5.11	38.42	3.42	38.58	4.08	3313.16	508.20	25.41	5.46	5.83	4.42	34.44	25.11
	"Tennessee"	"47"	"0"	"0"	61	27.36	4.42	33.60	7.37	33.55	7.35	1837.08	1265.00	25.75	6.77	6.14	5.05	45.00	17.04
	"Tennessee"	"47"	"1"	"1"	210	27.90	5.63	28.59	7.06	28.94	7.08	1475.49	1189.06	30.29	8.85	7.89	5.90	53.12	53.79
	"Tennessee"	"47"	"2"	"2"	166	26.93	5.77	32.31	7.03	32.62	7.25	2113.63	1237.16	29.15	8.83	9.05	5.23	50.38	42.61
	"Tennessee"	"47"	"3"	"3"	136	28.01	5.64	33.56	6.16	33.87	6.38	2338.65	1184.96	28.94	8.02	9.21	5.40	44.71	33.47
	"Tennessee"	"47"	"4"	"4"	224	28.46	5.94	35.04	5.18	35.11	5.35	2571.64	1080.97	29.32	8.36	9.91	4.66	65.59	57.14
	"Tennessee"	"47"	"5"	"5"	364	27.56	5.96	35.43	4.82	35.58	5.08	2575.32	1039.40	30.05	8.43	10.15	5.55	56.49	43.05
	"Tennessee"	"47"	"6"	"6"	751	27.73	5.96	35.27	4.97	35.56	5.21	2615.86	1064.19	28.36	8.33	10.35	4.99	55.17	41.39
	"Tennessee"	"47"	"7"	"7"	1741	27.67	5.89	36.44	3.89	36.67	4.10	2868.99	933.96	28.18	7.55	10.44	5.30	54.57	42.42
