Average Age of Mother (years),Average Birth Weight (grams),Average Interval Since Last Live Birth (months),Average LMP Gestational Age (weeks),Average Number of Prenatal Visits,Average OE Gestational Age (weeks),Average Pre-pregnancy BMI,Births,Five Minute APGAR Score Code,Five Minute APGAR Score,Notes,Number of Records,Standard Deviation for Average Age of Mother,Standard Deviation for Average Birth Weight,Standard Deviation for Average Interval Since Last Live Birth,Standard Deviation for Average LMP Gestational Age,Standard Deviation for Average Number of Prenatal Visits,Standard Deviation for Average OE Gestational Age,Standard Deviation for Average Pre-pregnancy BMI,State of Residence Code,State of Residence
30.56,3380.18,49.61,39.06,10.37,38.92,25.66,947,10,10,,1,5.51,478.4,37.36,1.82,3.49,1.26,5.38,34,New Jersey
29.79,2837.92,37.44,37.05,6.17,36.99,25.65,204,99,Unknown or Not Stated,,1,5.7,851.54,26.97,4.54,4.9,4.24,5.91,34,New Jersey
26.43,1793.21,33.44,30.15,4.79,30.23,27.7,14,0,0,,1,5.23,1147.04,19.11,9.43,5.33,7.84,7,35,New Mexico
28.22,1575.07,47.06,28.4,5.75,28,30.44,50,1,1,,1,5.44,1297.83,34.25,7.68,4.66,7.79,8.11,35,New Mexico
27.49,2636.65,48.62,35.27,8.39,35.09,29.85,55,2,2,,1,6.43,1119.34,31.92,6.54,4.53,6.4,6.85,35,New Mexico
29,2613.66,95.9,35.98,10.48,35.51,28.29,59,3,3,,1,6.55,1112.38,70.48,5.52,5.19,5.39,6.44,35,New Mexico
27.38,2605.12,57.68,35.65,9.3,35.65,27.74,69,4,4,,1,5.36,1030.14,50.63,5.86,4.49,5.39,6.31,35,New Mexico
27.32,2860.26,56.85,36.88,9.01,36.85,27.09,136,5,5,,1,6.11,869.54,53.32,3.91,4.29,3.68,6.95,35,New Mexico
28.18,2816.07,58.08,36.76,9.26,36.64,28.26,276,6,6,,1,6.54,879.29,43.34,4.08,4.34,3.82,7.17,35,New Mexico
27.9,2971.39,57.89,37.41,9.38,37.29,27.64,699,7,7,,1,6.07,787.05,42.62,3.35,4.46,3.13,7.14,35,New Mexico
27.85,3136.29,54.03,38.33,10.14,38.2,27.37,4575,8,8,,1,5.89,590.41,41.32,2.49,4.05,2.22,6.65,35,New Mexico
27.63,3222.58,51.28,38.73,10.15,38.62,27.32,16448,9,9,,1,5.81,490.35,36.87,1.9,4.23,1.51,6.6,35,New Mexico
28.24,3305.88,48.8,38.99,10.12,38.91,27.04,616,10,10,,1,5.8,465,34.95,1.79,4.23,1.29,6.3,35,New Mexico
28.88,2525.34,45.11,36.43,3.73,36.26,24.55,42,99,Unknown or Not Stated,,1,6.45,855.8,38.83,5.49,4.82,4.9,5.1,35,New Mexico
29.3,1634.38,64,28.07,7.06,27.88,28.17,57,0,0,,1,6.5,1459.3,52.45,8.48,4.48,8.62,7.24,36,New York
30.81,1165.69,56.42,26.09,6.42,25.9,28.53,268,1,1,,1,6.34,1081.95,52.95,7.21,3.98,7.15,8.04,36,New York
29.94,1866.41,71.34,30.97,8.41,30.72,28.75,189,2,2,,1,5.89,1262,53.08,8.04,4.92,7.78,7.47,36,New York
29.61,2380.54,56.19,33.95,8.95,33.62,29.09,192,3,3,,1,6.42,1289.37,45.66,6.72,4.44,6.64,7.65,36,New York
29.72,2698.54,63.83,35.94,10.41,35.82,28.39,309,4,4,,1,6.43,1086.18,49.23,5.52,4.72,5.23,7.5,36,New York
30.22,2653.93,59.79,35.52,10.02,35.27,28.86,552,5,5,,1,6.19,1109.19,45.74,5.58,4.3,5.31,8.02,36,New York
30.02,2677.44,59.76,35.87,10.27,35.69,28.23,1143,6,6,,1,6.03,1074.85,41.35,5.17,4.15,5.07,7.35,36,New York
30.22,2766.85,59.2,36.42,10.24,36.22,28.19,2698,7,7,,1,6.08,998.62,47.13,4.7,4.6,4.57,7.38,36,New York
30.26,3046.82,55.93,37.64,11.02,37.48,27.54,12502,8,8,,1,5.99,824.78,42.29,3.53,3.93,3.32,6.97,36,New York
30.28,3289.63,52.5,38.89,11.27,38.78,26.28,202253,9,9,,1,5.82,528.85,39.77,2.02,3.65,1.64,6.21,36,New York
30.05,3377.28,47.26,39.12,11.34,38.98,26.67,4994,10,10,,1,5.64,485.72,34.99,1.8,3.93,1.35,6.21,36,New York
29.53,3065.46,40.15,37.59,7.99,37.45,26.43,1081,99,Unknown or Not Stated,,1,5.9,851.09,31.98,4.45,4.78,4.38,6.34,36,New York
28.95,1998.11,53.51,31.27,7.77,30.49,29.36,84,0,0,,1,6.41,1275.61,40.43,8.19,5.62,7.69,7.73,37,North Carolina
27.75,1521.05,53.23,28.78,7.1,28.31,29.1,304,1,1,,1,6.25,1243.66,47.6,7.98,4.78,7.75,8.55,37,North Carolina
27.68,2341.15,55.64,33.8,9.74,33.36,28.88,234,2,2,,1,6.21,1325.54,37.77,7.57,5.65,7.33,8.24,37,North Carolina
27.42,2485.99,51.5,34.88,10.22,34.48,29.41,260,3,3,,1,6.56,1104.48,39.95,6.16,5.64,6.01,8.45,37,North Carolina
27.39,2596.94,59.79,35.46,10.89,35.25,28.7,314,4,4,,1,6.08,1061.01,44.91,5.83,5.69,5.31,7.78,37,North Carolina
28.85,2635.22,60.13,35.66,10.65,35.37,29.13,530,5,5,,1,6.16,1085.99,46.55,5.3,5.6,5.24,7.99,37,North Carolina
28.7,2753.59,59.97,36.15,11.13,35.94,28.64,1041,6,6,,1,6.26,1038.39,46.09,5.06,5.74,4.65,7.99,37,North Carolina
28.71,2870.15,56.4,36.9,11.25,36.49,28.7,2509,7,7,,1,6.15,941.89,42.57,4.41,5.26,4.09,7.71,37,North Carolina
28.58,3134.9,53.95,38.13,11.83,37.83,27.8,12478,8,8,,1,5.93,732.4,40.51,3.24,5.06,2.78,7.22,37,North Carolina
28.53,3292.69,51.64,38.92,12.25,38.67,27.31,98823,9,9,,1,5.73,537.86,38.03,2.34,4.65,1.63,6.95,37,North Carolina
28.55,3314.77,50.12,39.02,11.83,38.79,27,1941,10,10,,1,5.62,507.19,37.57,2.22,4.43,1.37,6.58,37,North Carolina
29.45,2865.34,46.14,37.2,8.72,36.92,26.83,436,99,Unknown or Not Stated,,1,5.8,898.29,38.44,4.88,7.14,4.33,7.46,37,North Carolina
28.25,1621.73,26.67,30.42,6.55,29.92,30.85,12,0,0,,1,4.8,1228.88,4.5,7.82,4.4,7.61,8.14,38,North Dakota
29.55,1816.3,56.25,28.45,6.45,28.18,30.45,11,1,1,,1,5.14,1439.36,58.36,7.75,3.5,7.73,8.53,38,North Dakota
29.5,2968.33,57.83,38.33,11.36,37.75,27.81,12,2,2,,1,6.09,888.87,52.88,2.13,3.55,2.2,3.75,38,North Dakota
26.5,2590.67,27,35.46,8.7,35.67,27.96,24,3,3,,1,4.69,830.59,11.92,4.45,3.83,4.33,6.96,38,North Dakota
26.71,2680.86,40.86,35.74,8.9,36.09,28.37,35,4,4,,1,5.71,983.77,31.45,4.36,3.67,4.12,8.48,38,North Dakota
29.28,2854.33,47.81,36.62,10.13,36.22,28.91,78,5,5,,1,5.65,942.17,47.08,4.19,4.03,4.2,7.62,38,North Dakota
29.18,2863.99,46.75,36.72,10.46,36.36,29.15,156,6,6,,1,5.29,868.54,38.23,3.91,3.72,3.84,7.12,38,North Dakota
28.85,3093.65,44.88,37.38,10.45,37.12,28.75,330,7,7,,1,5.36,861.81,35.13,3.71,3.68,3.46,7.33,38,North Dakota
28.45,3259.98,46.58,38.22,10.56,37.99,28.69,1362,8,8,,1,5.28,657.18,36.02,2.66,3.45,2.41,7.11,38,North Dakota
28.54,3391.6,42.19,38.88,10.72,38.69,27.87,8249,9,9,,1,5.12,508.52,30.65,1.94,3.27,1.45,6.69,38,North Dakota
28.81,3451.89,42.4,39.27,10.7,38.99,27.37,350,10,10,,1,5.61,443.77,28.17,1.52,3.46,1.17,6.83,38,North Dakota
26.76,2908.76,30.8,36.94,7.44,36.59,28.65,17,99,Unknown or Not Stated,,1,4.58,1007.91,17.07,4.75,4.26,4.5,7.69,38,North Dakota
29.21,2134.16,47.23,31.01,7.36,30.33,27.79,73,0,0,,1,5.34,1242.55,28.75,7.34,5.4,7.26,7.24,39,Ohio
28,1357.33,45.92,27.31,6.4,26.86,29.28,329,1,1,,1,5.67,1194.7,37.07,7.5,4.7,7.43,7.97,39,Ohio
28.14,1904.93,52.73,31.03,7.55,30.75,29.44,234,2,2,,1,6.01,1268.85,39.76,7.88,5.02,7.54,8.46,39,Ohio
28.16,2431.17,48.29,34.21,9.4,33.86,29.49,270,3,3,,1,5.63,1206.31,31.78,6.28,5.79,6.12,8.71,39,Ohio
27.49,2572.03,48.7,35,9.49,34.88,29.19,329,4,4,,1,6.01,1119.84,43.45,5.45,5.24,5.32,7.84,39,Ohio
28.22,2662.09,47.48,35.74,10.01,35.5,29.22,603,5,5,,1,6.03,1018.18,38.46,4.86,5.22,4.78,8.18,39,Ohio
28.08,2744.68,50.41,36.04,10.83,35.8,28.51,1159,6,6,,1,5.9,1022.14,40.54,4.96,5.29,4.7,7.9,39,Ohio
28.3,2839.09,48.87,36.49,10.78,36.28,28.81,2378,7,7,,1,5.83,935.75,38.87,4.27,4.87,4.04,7.85,39,Ohio
28.29,3133.9,47.29,37.88,11.36,37.67,28.35,11559,8,8,,1,5.74,737.32,35.66,3.08,4.63,2.76,7.64,39,Ohio
28.34,3302.36,45.83,38.77,11.69,38.61,27.32,114881,9,9,,1,5.57,531.35,34,2.1,4.28,1.58,7.03,39,Ohio
28.68,3424.02,37.7,39.25,10.19,39.1,26.27,2958,10,10,,1,5.61,485.31,27.21,1.8,4.15,1.21,6.46,39,Ohio
28.39,2951.11,38.44,37.41,7.82,37.28,26.06,361,99,Unknown or Not Stated,,1,6.1,871.11,32.44,4.55,6.26,4.25,6.14,39,Ohio
27.44,2072.9,62.24,31.62,7,31.06,27.51,32,0,0,,1,5.65,1269.5,35.62,7.83,3.68,7.22,6.49,40,Oklahoma
27.02,1708.22,54.16,29.4,6.69,28.94,27.98,106,1,1,,1,6.07,1354.9,39.32,8.01,4.66,7.97,7.51,40,Oklahoma
25.74,2140.59,47.86,32.6,8.43,32.13,28.36,98,2,2,,1,6.08,1266.48,39.87,7.41,4.34,6.87,8.2,40,Oklahoma
27.6,2536.49,48.73,34.32,9.45,34.06,29.54,109,3,3,,1,5.8,1133.86,38.88,6.1,4.41,5.92,8.47,40,Oklahoma
27.45,2812.78,48.8,35.96,10.07,35.78,29.38,164,4,4,,1,5.45,960.02,35.38,4.59,5.07,4.4,8.43,40,Oklahoma
26.96,2679.56,53.38,35.43,10.17,35.31,28.97,262,5,5,,1,6.02,1075.57,45.03,5.35,4.77,4.73,8.19,40,Oklahoma
27.45,2837.49,52.14,36.46,9.93,36.1,29.14,584,6,6,,1,5.93,953.2,40.38,4.56,4.8,4.29,7.9,40,Oklahoma
27.36,2950.02,52.95,36.89,10.38,36.66,28.86,1436,7,7,,1,5.71,867.18,40.44,4.05,4.38,3.71,7.76,40,Oklahoma
27.58,3180.67,50.41,37.95,10.61,37.77,28.26,7306,8,8,,1,5.72,683.47,38.07,2.87,4.11,2.4,7.43,40,Oklahoma
27.37,3304.45,47.65,38.61,10.93,38.47,27.65,37822,9,9,,1,5.56,514.47,35.19,2.12,3.7,1.49,6.99,40,Oklahoma
27.54,3336.72,44.96,38.86,10.67,38.72,27.07,1797,10,10,,1,5.48,444.65,33.44,1.82,3.35,1.17,6.84,40,Oklahoma
28.04,2689.28,40.97,35.66,5.96,35.53,27.11,84,99,Unknown or Not Stated,,1,5.39,928.87,23.29,5.69,5.88,4.96,6.88,40,Oklahoma
29.31,2226.33,79.29,33.62,10.18,32.69,30.62,13,0,0,,1,4.61,1470.06,53.38,9.28,4.41,8.94,5.07,41,Oregon
30.38,1797.93,41.56,29.99,7.84,29.45,29.33,77,1,1,,1,5.45,1448.74,27.55,7.79,4.63,7.8,7.66,41,Oregon
29.29,2551.83,63.69,34.39,9.17,34.33,28.66,66,2,2,,1,6.39,1285.19,49.22,6.8,4.55,6.74,8.35,41,Oregon
30.18,3066.08,56.7,36.87,10.83,36.82,27.55,105,3,3,,1,6.05,993.6,47.96,4.6,4.25,4.52,8.16,41,Oregon
30.34,2958.2,58.08,36.87,10.66,36.74,28.78,143,4,4,,1,6.09,1015.21,50.93,4.54,4.76,4.34,7.9,41,Oregon
28.48,2925.87,47.09,36.8,11.04,36.59,27.42,253,5,5,,1,6.1,941.49,35,4.27,4.34,4.04,7.07,41,Oregon
29.31,3065.84,53.1,37.46,11.06,37.36,28.49,477,6,6,,1,5.71,895.05,42.88,3.83,4.19,3.6,7.6,41,Oregon
29.57,3126.39,53.05,37.89,11.12,37.65,27.9,1150,7,7,,1,5.8,787.79,39.73,3.38,4.11,3.2,7.33,41,Oregon
29.16,3265.79,51.49,38.5,11.61,38.35,27.56,5368,8,8,,1,5.84,651.42,38.45,2.57,4.03,2.27,7.12,41,Oregon
29.46,3370.67,49.95,39.05,11.77,38.91,26.96,32847,9,9,,1,5.71,516.32,36.82,1.95,3.68,1.52,6.7,41,Oregon
30.09,3458.05,46.1,39.51,11.57,39.35,25.71,1608,10,10,,1,5.52,477.36,32.62,1.81,3.44,1.25,5.88,41,Oregon
30.22,3169.03,48.3,38.43,6.34,38.31,27.42,81,99,Unknown or Not Stated,,1,6.28,715.12,47.58,3.1,5.44,3.12,7.44,41,Oregon
28.05,1863.92,52.87,29.79,6.06,29.71,27.02,41,0,0,,1,5.93,1339.07,35.04,8.02,4.96,8.31,7.03,42,Pennsylvania
28.58,1640.14,54.47,29.08,7.22,28.77,28.47,333,1,1,,1,5.94,1300.1,50.56,8.26,5.27,8.07,7.88,42,Pennsylvania
28.65,2284.86,50.31,33.18,9.12,32.9,28.92,273,2,2,,1,5.94,1331.5,43.55,7.53,5.48,7.32,8.45,42,Pennsylvania
29.09,2529.83,46.14,35.16,9.25,34.84,28.34,269,3,3,,1,5.93,1115.85,39.85,6.01,4.99,5.98,7.2,42,Pennsylvania
28.65,2571.42,45.57,35.21,10.14,34.95,28.53,395,4,4,,1,6.16,1138.49,33.29,5.74,5.3,5.6,7.9,42,Pennsylvania
29.16,2733.58,56.28,36.25,10.56,36.04,28.13,608,5,5,,1,6.2,992.36,45.98,4.81,5.03,4.61,7.34,42,Pennsylvania
28.93,2819.9,53.85,36.39,10.38,36.22,28.41,1010,6,6,,1,5.88,1006.8,41.66,4.84,5.03,4.57,7.62,42,Pennsylvania
29.04,2962.4,54.44,37.21,10.85,37,28.15,2690,7,7,,1,5.82,911.59,41.35,4.06,4.98,3.79,7.45,42,Pennsylvania
28.86,3202.54,48.49,38.34,11.22,38.14,27.55,16661,8,8,,1,5.67,694.49,35.98,2.86,4.66,2.54,7.05,42,Pennsylvania
29.25,3316.49,47.08,38.9,11.63,38.75,26.87,108702,9,9,,1,5.57,534.16,34.78,2.08,4.43,1.61,6.72,42,Pennsylvania
28.87,3425.57,37.19,39.21,10,39.15,25.98,3924,10,10,,1,5.48,481.42,26.07,1.77,4.48,1.27,6.21,42,Pennsylvania
29.17,2914.7,45.8,36.74,8.82,36.65,26.61,767,99,Unknown or Not Stated,,1,5.67,964.94,37.76,5.09,5.52,4.94,6.42,42,Pennsylvania
29.08,1502.54,65.8,28.08,10.29,28,30.28,26,1,1,,1,6.7,1387.37,37.68,7.54,8.06,7.9,7.06,44,Rhode Island
31.09,1337,64.67,27.45,7.5,27,30.86,11,2,2,,1,6.16,1164.06,35.31,7.46,3.32,7.54,6.39,44,Rhode Island
28.89,2439.7,62.75,35.44,8.56,34.56,29,27,3,3,,1,4.47,1255.22,39.73,6.48,3.38,6.4,7.93,44,Rhode Island
30.73,2788.92,60.5,36.42,11,35.62,29.6,26,4,4,,1,6.27,1077.59,49.95,6.01,7.61,5.5,8.63,44,Rhode Island
30.7,2510.02,97.21,35.12,11.41,35.12,30.66,43,5,5,,1,6.05,1150.83,68.28,5.95,5.9,5.96,6.47,44,Rhode Island
30.39,2686.46,69.62,36.22,11.04,35.96,29.18,92,6,6,,1,6.48,977.43,53.26,4.48,3.62,4.38,7.29,44,Rhode Island
29.25,2874.49,57.03,37.33,11.23,36.88,27.65,200,7,7,,1,6.07,873.04,36.22,3.87,3.99,3.47,6.84,44,Rhode Island
29.71,3204,55.24,38.16,11.65,37.95,27.75,829,8,8,,1,5.92,740.22,39.62,3,4.65,2.65,6.85,44,Rhode Island
29.7,3336.45,53.38,39.03,11.71,38.79,26.77,9050,9,9,,1,5.62,516.72,38.87,2.07,4.38,1.55,6.36,44,Rhode Island
30.97,3392.56,55.52,38.91,12.7,38.83,25.9,171,10,10,,1,5.48,433.56,43.14,1.96,4.26,1.15,5.69,44,Rhode Island
28.77,2517.38,46.6,37.2,9.04,36.83,26.17,31,99,Unknown or Not Stated,,1,7.43,881.51,29.85,4.75,6.72,5.27,6.54,44,Rhode Island
27.27,1901.87,67.78,30.04,6.92,29.92,30.68,26,0,0,,1,7.07,1222.97,51.46,7.09,5.72,7.01,9.31,45,South Carolina
27.92,1493.69,42.28,28.39,7.01,28.02,29.32,157,1,1,,1,6.48,1229.23,33.82,7.67,5.34,7.46,8.13,45,South Carolina
27.79,2201.63,71.54,32.57,10.36,32.54,28.92,96,2,2,,1,5.81,1209.31,55.03,6.6,5.64,6.53,8.7,45,South Carolina
28.43,2324.94,53.56,33.69,9.87,33.43,30.05,106,3,3,,1,5.18,1175.44,41.48,5.95,5.56,5.97,9.09,45,South Carolina
27.92,2620.64,56.73,35.66,10.65,35.21,30.98,154,4,4,,1,5.95,1079.45,36.09,5.34,5.73,5.21,8.59,45,South Carolina
27.45,2493.4,55.35,35.32,10.77,34.88,29.31,257,5,5,,1,6.35,1078.39,47.21,5.48,5.73,5.37,7.36,45,South Carolina
28.21,2631.29,57.35,35.52,10.92,35.23,29.72,492,6,6,,1,5.99,1049.49,43.09,5.13,5.31,4.89,8.04,45,South Carolina
28.27,2730.28,55.18,36.11,11.12,35.81,29.5,1126,7,7,,1,5.91,1000.48,40.75,4.62,5.45,4.4,8.25,45,South Carolina
28.28,3074.13,54.53,37.7,11.74,37.44,28.84,4889,8,8,,1,5.97,758.52,41.14,3.24,5.03,2.88,7.89,45,South Carolina
28.09,3269,50.91,38.65,12.09,38.51,28.03,48169,9,9,,1,5.69,529.2,37.44,2.14,4.6,1.57,7.4,45,South Carolina
28.87,3351.03,43.75,39.01,11.63,38.85,26.88,1017,10,10,,1,5.35,499.82,32.28,2.23,3.98,1.38,6.66,45,South Carolina
28.33,2824.96,47.71,36.89,7.97,36.66,27.12,180,99,Unknown or Not Stated,,1,5.77,887.8,36.56,4.34,5.95,4.29,7.21,45,South Carolina
27,1170.62,57.5,24.64,6.9,24.45,30.19,11,1,1,,1,3.64,1193.59,57.53,7.87,1.7,7.66,6.44,46,South Dakota
30.6,2263.8,52.67,32.8,9.64,33.2,27.69,15,2,2,,1,6,1138.25,38.9,5.55,4.64,5.53,5.93,46,South Dakota
26.91,3132.91,41,37,10.52,36.96,26.69,23,3,3,,1,5.47,1073.53,36.14,4.82,3.46,4.38,4.75,46,South Dakota
30.29,2934.86,50.77,36.14,10.15,36,30.59,21,4,4,,1,5.86,990.05,35.88,4.38,3.07,4.13,8.05,46,South Dakota
28.4,2885.16,44.43,37.05,10.06,36.69,29.24,55,5,5,,1,5.27,972.03,27.86,4.81,4.32,4.67,6.76,46,South Dakota
28.57,2894.65,53.4,36.58,10.25,36.61,28.89,105,6,6,,1,6.1,871.41,48.99,3.55,4.1,3.79,7.26,46,South Dakota
28.86,2909.45,55.85,36.69,10.17,36.68,27.99,228,7,7,,1,5.41,910.61,43.16,4.05,4.09,3.79,7.01,46,South Dakota
28.33,3205.56,46.24,37.98,10.52,37.88,27.75,1099,8,8,,1,5.58,678.56,33.84,2.77,3.77,2.47,6.96,46,South Dakota
28.38,3367.84,43.89,38.77,10.66,38.72,26.83,9681,9,9,,1,5.29,515,32.19,1.99,3.5,1.54,6.42,46,South Dakota
28.02,3363.84,41.88,38.8,10.55,38.73,26.5,587,10,10,,1,5.29,496.01,30.23,1.84,3.7,1.47,6.62,46,South Dakota
30.36,3313.16,34.44,38.58,5.83,38.42,25.41,66,99,Unknown or Not Stated,,1,5.11,508.2,25.11,4.08,4.42,3.42,5.46,46,South Dakota
27.36,1837.08,45,33.55,6.14,33.6,25.75,61,0,0,,1,4.42,1265,17.04,7.35,5.05,7.37,6.77,47,Tennessee
27.9,1475.49,53.12,28.94,7.89,28.59,30.29,210,1,1,,1,5.63,1189.06,53.79,7.08,5.9,7.06,8.85,47,Tennessee
26.93,2113.63,50.38,32.62,9.05,32.31,29.15,166,2,2,,1,5.77,1237.16,42.61,7.25,5.23,7.03,8.83,47,Tennessee
28.01,2338.65,44.71,33.87,9.21,33.56,28.94,136,3,3,,1,5.64,1184.96,33.47,6.38,5.4,6.16,8.02,47,Tennessee
28.46,2571.64,65.59,35.11,9.91,35.04,29.32,224,4,4,,1,5.94,1080.97,57.14,5.35,4.66,5.18,8.36,47,Tennessee
27.56,2575.32,56.49,35.58,10.15,35.43,30.05,364,5,5,,1,5.96,1039.4,43.05,5.08,5.55,4.82,8.43,47,Tennessee
27.73,2615.86,55.17,35.56,10.35,35.27,28.36,751,6,6,,1,5.96,1064.19,41.39,5.21,4.99,4.97,8.33,47,Tennessee
27.67,2868.99,54.57,36.67,10.44,36.44,28.18,1741,7,7,,1,5.89,933.96,42.42,4.1,5.3,3.89,7.55,47,Tennessee
27.74,3145.76,51.43,37.98,11.26,37.77,27.92,9642,8,8,,1,5.8,713.41,38.72,2.97,4.86,2.58,7.45,47,Tennessee
27.86,3285.07,48.79,38.6,11.17,38.53,27.08,64751,9,9,,1,5.69,531.4,36,2.03,4.08,1.56,6.95,47,Tennessee
27.2,3326.22,44.19,38.92,11.09,38.75,26.68,2012,10,10,,1,5.51,493.73,31.72,1.85,3.86,1.26,6.84,47,Tennessee
28.25,3106.96,43.24,37.75,8.04,37.68,26.38,693,99,Unknown or Not Stated,,1,5.79,820.57,35.43,3.8,5.22,3.68,6.74,47,Tennessee
27.74,2265.58,49.11,33,7.79,32.88,27.56,165,0,0,,1,5.7,1290.98,42.1,7.49,5.55,7.33,7.03,48,Texas
28.12,1285.91,48.28,27.3,5.93,26.91,28.97,718,1,1,,1,6.13,1200.73,38.58,7.68,4.61,7.55,8,48,Texas
28.59,2057.37,60.34,31.75,7.73,31.48,28.53,550,2,2,,1,6.55,1315.32,48.56,7.66,5.26,7.53,7.07,48,Texas
28.44,2310.17,54.29,33.66,8.02,33.37,28.91,544,3,3,,1,6.37,1194.36,45.14,6.5,4.67,6.27,7.35,48,Texas
28.01,2559.01,55.56,35.07,8.63,34.85,28.25,739,4,4,,1,6.44,1112.01,42.83,5.55,4.43,5.41,7.78,48,Texas
28.6,2600.34,58.15,35.42,9.17,35.09,28.45,1091,5,5,,1,6.23,1082.15,45.65,5.33,4.82,5.15,7.6,48,Texas
28.37,2659.5,57.69,35.69,9.1,35.42,28.1,2102,6,6,,1,6.14,1024.71,44.95,4.99,4.48,4.79,7.36,48,Texas
28.4,2859.78,55.01,36.6,9.6,36.39,27.97,5738,7,7,,1,6.17,934.9,43.04,4.29,4.35,4.11,7.3,48,Texas
28.38,3130.6,53.03,37.85,10.09,37.67,27.64,36876,8,8,,1,5.99,709.79,40.15,2.96,4.19,2.7,6.97,48,Texas
28.27,3267.48,51.66,38.57,10.44,38.45,27.17,321836,9,9,,1,5.91,518.93,38.17,2.05,4.03,1.62,6.58,48,Texas
28.24,3342.79,44.76,38.92,10.58,38.82,26.46,7051,10,10,,1,5.7,470.1,32.43,1.81,3.77,1.34,6.35,48,Texas
29.26,2721.06,47.74,36.02,9.43,35.77,26.57,1214,99,Unknown or Not Stated,,1,5.81,1022.46,38.13,5.24,5.41,5.14,6.83,48,Texas
28.58,1779.39,74.36,29.46,6.7,29.5,25.96,24,0,0,,1,4.9,1413.79,54.29,8.48,4.12,8.45,5.45,49,Utah
28.19,1382.24,41.4,26.86,6.97,26.34,27.65,99,1,1,,1,5.33,1228.28,30.52,7.55,4.6,7.49,7.07,49,Utah
28.48,2196.68,46.21,32.22,8.67,32.43,27.13,60,2,2,,1,5.17,1275.2,26.71,7.96,4.68,8.04,6.42,49,Utah
27.94,2637.69,41.42,34.84,9.61,34.66,26.84,85,3,3,,1,5.5,1006.15,19.96,5.62,3.66,5.48,7.78,49,Utah
30.07,2628.25,44.71,35.47,10.9,35.45,27.72,106,4,4,,1,6.04,929.6,33.9,4.61,4.43,4.6,7.01,49,Utah
29.05,2928.99,48.45,37.23,11.07,37.04,27.95,271,5,5,,1,5.54,809.5,35.28,3.55,3.79,3.52,6.97,49,Utah
28.09,2909.95,49.89,36.86,10.79,36.56,27.36,511,6,6,,1,6.22,868.53,39.99,3.88,4.17,3.67,7.21,49,Utah
28.81,3026.64,47.72,37.42,10.84,37.17,27.55,1414,7,7,,1,5.5,774.87,34.71,3.32,3.93,3.13,7.26,49,Utah
28.62,3201.54,44.72,38.14,11.11,37.95,26.91,6336,8,8,,1,5.57,652.91,32.91,2.65,3.63,2.35,6.88,49,Utah
28.57,3302.16,43.23,38.79,11.24,38.61,26.03,36280,9,9,,1,5.36,483.86,29.61,1.86,3.05,1.42,6.18,49,Utah
28.84,3355.19,40.28,39.1,10.95,38.98,25.32,1773,10,10,,1,5.37,442.15,26.49,1.67,2.89,1.23,5.82,49,Utah
28.99,3060.89,36.18,37.44,9.32,37.17,25.71,250,99,Unknown or Not Stated,,1,5.33,873.76,20.76,4.61,4.92,4.57,6.26,49,Utah
30.4,2554.4,52.67,34.9,11.6,35,30.97,10,2,2,,1,5.41,1254.42,23.17,6.16,4.18,6.4,10.86,50,Vermont
28.75,2850.33,110.25,37.67,10.67,36.92,30.58,12,3,3,,1,4.62,1033.01,65.9,5.73,4.44,5.48,9.49,50,Vermont
31.16,2728,61.2,35.58,11.21,35.47,28.34,19,4,4,,1,6.77,1066.76,29.38,5.63,5.22,5.5,7.26,50,Vermont
29.53,3088.47,60.06,37.82,11.79,37.61,29.97,38,5,5,,1,6.98,726.2,48.49,2.8,3.76,2.78,7.07,50,Vermont
29.07,3037.89,46.36,37.83,13.11,37.65,28.78,89,6,6,,1,6.07,802.67,31.42,3.26,4.67,3.09,8.99,50,Vermont
29.42,3033.77,44.85,37.49,12.14,37.29,29.31,167,7,7,,1,5.85,860.5,31.92,3.93,3.61,3.66,7.84,50,Vermont
29.15,3271.38,49.93,38.55,12.77,38.23,28.59,648,8,8,,1,5.31,697.88,33.77,2.89,3.7,2.52,7.67,50,Vermont
29.74,3378.46,48.18,39.18,12.92,38.97,27.48,4153,9,9,,1,5.54,535.14,33.04,2.06,3.3,1.64,7.14,50,Vermont
30.42,3449.94,45.91,39.37,12.58,39.17,26.47,261,10,10,,1,5.18,461.94,29.48,1.77,3.22,1.31,6.6,50,Vermont
31.42,2986.76,50.13,37.1,8.79,37.1,26.1,31,99,Unknown or Not Stated,,1,4.46,814.35,37.04,4.65,5.55,4.6,6.45,50,Vermont
28.75,2069.2,71.59,30.75,8.36,30.64,26.93,44,0,0,,1,6.64,1245.95,61.84,7.91,5.34,7.95,7.36,51,Virginia
28.97,1285.2,56.43,27.01,6.97,26.37,28.6,187,1,1,,1,6.37,1227.87,48.95,7.67,5.71,7.41,7.78,51,Virginia
28.91,2037.52,56.02,31.2,9.17,30.78,28.48,127,2,2,,1,6.31,1391.08,50.35,8,5.97,7.7,7.36,51,Virginia
29.32,2469.44,62.67,34.38,10.22,34.11,30.11,132,3,3,,1,5.72,1269.52,49.32,6.94,4.83,6.54,8.27,51,Virginia
29.1,2538.87,51.24,35.39,10.77,34.99,28.48,219,4,4,,1,6.37,1115.26,46.46,5.82,6.74,5.64,8.21,51,Virginia
